;name;county;area;population;unnamed_metric;cabin_construction;eco_river_water
0;Halden;VIKEN;53;31387;8.0;1434;0.4
1;Moss;VIKEN;388;49668;5.0;273;0.09
2;Sarpsborg;VIKEN;155;57372;;2336;0.16
3;Fredrikstad;VIKEN;293;83193;8.0;3291;0.1
4;Drammen;VIKEN;334;101859;4.0;661;0.67
5;Kongsberg;VIKEN;37;27694;;1293;0.81
6;Ringerike;VIKEN;22;30835;;3676;0.85
7;Hvaler;VIKEN;52;4694;6.0;1843;0.25
8;Aremark;VIKEN;5;1325;;1063;0.48
9;Marker;VIKEN;10;3601;;602;0.35
10;Indre Østfold;VIKEN;60;45201;;310;0.24
11;Skiptvet;VIKEN;41;3825;;142;0.12
12;Rakkestad;VIKEN;20;8222;;129;0.12
13;Råde;VIKEN;72;7568;;685;0.13
14;Våler;VIKEN;24;5805;;61;0.84
15;Vestby;VIKEN;136;18290;3.0;567;0.0
16;Nordre Follo;VIKEN;306;60034;;0;0.35
17;Ås;VIKEN;202;20439;;0;0.04
18;Frogn;VIKEN;188;15953;4.0;1826;0.0
19;Nesodden;VIKEN;325;19805;2.0;165;0.09
20;Bærum;VIKEN;678;128233;0.0;106;0.49
21;Asker;VIKEN;261;94915;63.0;2050;0.46
22;Aurskog-Høland;VIKEN;17;17591;;1851;0.7
23;Rælingen;VIKEN;334;18730;;0;0.53
24;Enebakk;VIKEN;57;11065;;0;0.66
25;Lørenskog;VIKEN;638;42740;;0;0.5
26;Lillestrøm;VIKEN;212;86953;;95;0.23
27;Nittedal;VIKEN;137;24454;;0;0.6
28;Gjerdrum;VIKEN;86;7043;;0;0.35
29;Ullensaker;VIKEN;162;40459;;0;0.11
30;Nes;VIKEN;38;23422;;289;0.45
31;Eidsvoll;VIKEN;67;26031;;251;0.66
32;Nannestad;VIKEN;45;14637;;16;0.47
33;Hurdal;VIKEN;11;2838;;2240;0.85
34;Hole;VIKEN;50;6811;;173;0.69
35;Flå;VIKEN;2;1049;;26005;0.99
36;Nesbyen;VIKEN;4;3262;;23733;0.97
37;Gol;VIKEN;9;4636;;16719;0.95
38;Hemsedal;VIKEN;4;2546;;15631;0.94
39;Ål;VIKEN;4;4648;;12393;0.96
40;Hol;VIKEN;3;4434;;21323;0.98
41;Sigdal;VIKEN;4;3465;;3721;0.94
42;Krødsherad;VIKEN;7;2219;;19310;0.98
43;Modum;VIKEN;31;14166;;208;0.77
44;Øvre Eiker;VIKEN;47;19709;;0;0.68
45;Lier;VIKEN;96;27118;;0;0.49
46;Flesberg;VIKEN;5;2713;;11213;0.92
47;Rollag;VIKEN;3;1386;;12166;0.89
48;Nore og Uvdal;VIKEN;1;2412;;14703;0.99
49;Jevnaker;VIKEN;35;6867;;3735;0.68
50;Lunner;VIKEN;33;9062;;1693;0.54
51;Oslo kommune;OSLO;1636;697010;;0;0.71
52;Kongsvinger;INNLANDET;19;17851;;605;0.74
53;Hamar;INNLANDET;93;31509;;3056;0.57
54;Lillehammer;INNLANDET;63;28493;;2544;0.63
55;Gjøvik;INNLANDET;48;30395;;317;0.72
56;Ringsaker;INNLANDET;31;34897;;6325;0.58
57;Løten;INNLANDET;21;7625;;4661;0.6
58;Stange;INNLANDET;33;21072;;1845;0.56
59;Nord-Odal;INNLANDET;11;5038;;1266;0.75
60;Sør-Odal;INNLANDET;17;7914;;585;0.64
61;Eidskog;INNLANDET;10;6099;;1068;0.73
62;Grue;INNLANDET;6;4545;;767;0.7
63;Åsnes;INNLANDET;7;7227;;138;0.66
64;Våler;INNLANDET;5;3587;;119;0.97
65;Elverum;INNLANDET;18;21292;;16;0.8
66;Trysil;INNLANDET;2;6580;;12683;0.74
67;Åmot;INNLANDET;3;4338;;5627;0.83
68;Stor-Elvdal;INNLANDET;1;2378;;2164;0.87
69;Rendalen;INNLANDET;1;1741;;1120;0.91
70;Engerdal;INNLANDET;1;1250;;3310;0.91
71;Tolga;INNLANDET;1;1563;;432;0.95
72;Tynset;INNLANDET;3;5537;;1590;0.95
73;Alvdal;INNLANDET;3;2405;;202;0.96
74;Folldal;INNLANDET;1;1518;;567;0.79
75;Os;INNLANDET;2;1870;;2205;0.88
76;Dovre;INNLANDET;2;2512;;586;0.84
77;Lesja;INNLANDET;1;1980;;6306;0.94
78;Skjåk;INNLANDET;1;2183;;1270;0.99
79;Lom;INNLANDET;1;2204;;0;0.97
80;Vågå;INNLANDET;3;3564;;2054;0.93
81;Nord-Fron;INNLANDET;5;5705;;5088;0.93
82;Sel;INNLANDET;6;5592;;700;0.93
83;Sør-Fron;INNLANDET;4;3064;;7404;0.9
84;Ringebu;INNLANDET;4;4408;;30903;0.9
85;Øyer;INNLANDET;8;5093;;30559;0.87
86;Gausdal;INNLANDET;5;6023;;19213;0.89
87;Østre Toten;INNLANDET;31;14871;;1735;0.6
88;Vestre Toten;INNLANDET;58;13459;;67;0.27
89;Gran;INNLANDET;21;13611;;11429;0.58
90;Søndre Land;INNLANDET;8;5579;;1101;0.87
91;Nordre Land;INNLANDET;7;6581;;3587;0.88
92;Sør-Aurdal;INNLANDET;3;2904;;6514;0.95
93;Etnedal;INNLANDET;3;1257;;4439;0.9
94;Nord-Aurdal;INNLANDET;7;6360;;16232;0.88
95;Vestre Slidre;INNLANDET;5;2120;;1199;0.83
96;Øystre Slidre;INNLANDET;4;3236;;8517;0.86
97;Vang;INNLANDET;1;1573;;4632;0.96
98;Horten;VESTFOLD OG TELEMARK;399;27510;;606;0.1
99;Holmestrand;VESTFOLD OG TELEMARK;61;25011;;874;0.53
100;Tønsberg;VESTFOLD OG TELEMARK;175;57026;;193;0.24
101;Sandefjord;VESTFOLD OG TELEMARK;155;64345;3.0;1740;0.19
102;Larvik;VESTFOLD OG TELEMARK;62;47499;16.0;5903;0.49
103;Porsgrunn;VESTFOLD OG TELEMARK;227;36526;1.0;1896;0.26
104;Skien;VESTFOLD OG TELEMARK;77;55144;4.0;536;0.8
